game,net winnings,bet
786,2.5,45.0
787,-1.5,43.0
788,10.5,49.0
789,-13.0,50.0
790,-3.0,41.0
791,91.5,238.0
792,6.5,50.0
793,0.0,48.0
794,2.0,50.0
795,-11.0,49.0
796,6.0,47.0
797,-12.0,48.0
798,-9.5,46.0
799,-11.0,44.0
800,13.0,45.0
801,21.0,66.0
802,-61.0,253.0
803,36.0,165.0
804,2.0,47.0
805,2.5,48.0
806,-8.0,371.0
807,14.0,50.0
808,-12.0,50.0
809,13.5,64.0
810,0.0,49.0
811,-19.0,66.0
812,1.0,50.0
813,-14.0,52.0
814,-1.5,49.0
815,-10.5,44.0
816,8.0,47.0
817,-2.0,49.0
818,12.5,48.0
819,-13.0,48.0
820,7.5,465.0
821,14.0,45.0
822,1.0,45.0
823,15.5,50.0
824,4.0,49.0
825,-3.0,45.0
826,-5.5,46.0
827,-0.5,50.0
828,-42.5,218.0
829,-14.0,100.0
830,7.5,44.0
831,-7.0,46.0
832,-21.0,123.0
833,14.5,53.0
834,-4.0,52.0
835,-9.5,50.0
836,0.5,49.0
837,17.0,66.0
838,-0.5,50.0
839,-9.5,49.0
840,-2.5,46.0
841,3.0,42.0
842,-71.0,123.0
843,4.0,56.0
844,-65.0,258.0
845,6.5,45.0
846,161.0,333.0
847,-19.0,105.0
848,93.0,275.0
849,-4.0,50.0
850,-9.5,48.0
851,-5.0,47.0
852,-3.5,46.0
853,-168.5,522.0
854,7.0,47.0
855,-5.5,49.0
856,-14.5,160.0
857,-71.5,293.0
858,54.5,255.0
859,-8.0,46.0
860,2.0,50.0
861,-0.5,49.0
862,-45.0,617.0
863,-4.5,46.0
864,-6.0,49.0
865,-144.0,468.0
866,-9.5,47.0
867,37.0,143.0
868,-11.5,165.0
869,-14.5,45.0
870,16.0,217.0
871,63.5,354.0
872,-0.5,46.0
873,-5.5,50.0
874,215.5,409.0
875,0.0,47.0
876,5.0,46.0
877,14.0,278.0
878,1.0,69.0
879,39.0,332.0
880,-75.5,140.0
881,47.5,235.0
882,0.0,47.0
883,4.0,47.0
884,-22.0,179.0
885,-5.0,48.0
886,-6.0,200.0
887,2.5,43.0
888,-4.5,47.0
889,6.5,47.0
890,0.0,47.0
891,-6.5,49.0
892,97.5,219.0
893,-8.0,51.0
894,-4.5,47.0
895,-23.5,64.0
896,-18.5,48.0
897,5.0,47.0
898,-11.0,50.0
899,8.5,205.0
900,-9.5,48.0
901,17.0,49.0
902,-2.5,47.0
903,7.0,48.0
904,-0.5,237.0
905,-4.0,49.0
906,6.5,48.0
